Time,X,Y
100.0,0.016431,8.953245
300.0,0.01669,8.754355
500.0,0.016891,8.666372
700.0,0.017029,8.719342
900.0,0.017104,8.846215
1100.0,0.017109,8.618744
1300.0,0.017045,8.6506605
1500.0,0.016914,8.698945
1700.0,0.016718,8.721896
1900.0,0.01646,8.811689
2100.0,0.016142,8.6936455
2300.0,0.015766,8.757381
2500.0,0.015333,8.735516
2700.0,0.014846,8.75585
2900.0,0.014307,8.521444
3100.0,0.013718,8.502476
3300.0,0.013081,8.32624
3500.0,0.012394,8.53135
3700.0,0.011656,8.741335
3900.0,0.010867,8.650071
4100.0,0.010024,8.6339245
4300.0,0.009131,8.54611
4500.0,0.008197,8.664782
4700.0,0.007229,8.681512
4900.0,0.006233,8.792368
5100.0,0.005218,8.9845295
5300.0,0.004186,8.471607
5500.0,0.003137,8.565025
5700.0,0.002075,8.546527
5900.0,0.001001,8.5406275
6100.0,-8.1e-05,8.680582
6300.0,-0.001167,8.879298
6500.0,-0.002253,9.12801
6700.0,-0.003337,9.042279
6900.0,-0.004415,8.601822
7100.0,-0.005488,8.774637
7300.0,-0.006551,8.232111
7500.0,-0.0076,8.596488
7700.0,-0.008629,8.478983
7900.0,-0.009632,8.7807
8100.0,-0.010603,8.786507
8300.0,-0.011536,8.935396
8500.0,-0.012427,8.953225
8700.0,-0.013273,8.430735
8900.0,-0.014072,8.202272
9100.0,-0.014819,8.568478
9300.0,-0.015515,7.8647504
9500.0,-0.016161,6.9854646
9700.0,-0.016759,7.0377135
9900.0,-0.01731,7.084905
10100.0,-0.017815,6.7144847
10300.0,-0.018271,6.595374
10500.0,-0.018669,6.358207
10700.0,-0.019003,6.0504622
10900.0,-0.019268,5.416943
11100.0,-0.019458,4.7062483
11300.0,-0.019572,4.3019056
11500.0,-0.019616,3.4062123
11700.0,-0.019594,2.1231973
11900.0,-0.019507,0.78448373
12100.0,-0.019359,0.074221306
12300.0,-0.019151,-0.7804298
12500.0,-0.018881,-1.3372416
12700.0,-0.01855,-1.5084623
12900.0,-0.01816,-0.8442092
13100.0,-0.017711,0.0635773
13300.0,-0.017206,0.4022768
13500.0,-0.016644,-0.03723816
13700.0,-0.016028,-0.68901247
13900.0,-0.015357,-1.3062327
14100.0,-0.014632,-1.7152696
14300.0,-0.013855,-2.2677248
14500.0,-0.01303,-3.1258132
14700.0,-0.01216,-4.2515244
14900.0,-0.011249,-5.0823355
15100.0,-0.010301,-5.9341054
15300.0,-0.009319,-6.466952
15500.0,-0.008309,-6.743636
15700.0,-0.007275,-6.9917364
15900.0,-0.006222,-7.9830084
16100.0,-0.005155,-8.218467
16300.0,-0.004078,-8.755787
16500.0,-0.002991,-9.495884
16700.0,-0.001895,-10.340146
16900.0,-0.000793,-10.804975
17100.0,0.000314,-10.970118
17300.0,0.001422,-10.862819
17500.0,0.002525,-10.298123
17700.0,0.00362,-9.327857
17900.0,0.0047,-8.543202
18100.0,0.005764,-8.151546
18300.0,0.006806,-7.4034452
18500.0,0.007821,-7.576956
18700.0,0.008806,-7.4212613
18900.0,0.009755,-7.088587
19100.0,0.010661,-7.3502793
19300.0,0.011521,-7.387874
19500.0,0.012338,-7.4857664
19700.0,0.013112,-7.71063
19900.0,0.013842,-7.9056816
20100.0,0.014532,-7.7479906
20300.0,0.015179,-7.551595
20500.0,0.015778,-7.583466
20700.0,0.016325,-7.6604853
20900.0,0.016815,-7.9134436
21100.0,0.017244,-7.7409964
21300.0,0.01761,-7.4540815
21500.0,0.017913,-7.380249
21700.0,0.018153,-7.0940514
21900.0,0.01833,-6.872515
22100.0,0.018442,-6.7077327
22300.0,0.018492,-6.7014008
22500.0,0.018479,-6.4232287
22700.0,0.018406,-6.258417
22900.0,0.018273,-6.158222
23100.0,0.018083,-6.0082397
23300.0,0.017836,-6.089066
23500.0,0.017535,-5.9278703
23700.0,0.017182,-5.9474816
23900.0,0.016777,-5.4169703
