age,pre
100.0,0.016431
300.0,0.01669
500.0,0.016891
700.0,0.017029
900.0,0.017104
1100.0,0.017109
1300.0,0.017045
1500.0,0.016914
1700.0,0.016718
1900.0,0.01646
2100.0,0.016142
2300.0,0.015766
2500.0,0.015333
2700.0,0.014846
2900.0,0.014307
3100.0,0.013718
3300.0,0.013081
3500.0,0.012394
3700.0,0.011656
3900.0,0.010867
4100.0,0.010024
4300.0,0.009131
4500.0,0.008197
4700.0,0.007229
4900.0,0.006233
5100.0,0.005218
5300.0,0.004186
5500.0,0.003137
5700.0,0.002075
5900.0,0.001001
6100.0,-8.1e-05
6300.0,-0.001167
6500.0,-0.002253
6700.0,-0.003337
6900.0,-0.004415
7100.0,-0.005488
7300.0,-0.006551
7500.0,-0.0076
7700.0,-0.008629
7900.0,-0.009632
8100.0,-0.010603
8300.0,-0.011536
8500.0,-0.012427
8700.0,-0.013273
8900.0,-0.014072
9100.0,-0.014819
9300.0,-0.015515
9500.0,-0.016161
9700.0,-0.016759
9900.0,-0.01731
10100.0,-0.017815
10300.0,-0.018271
10500.0,-0.018669
10700.0,-0.019003
10900.0,-0.019268
11100.0,-0.019458
11300.0,-0.019572
11500.0,-0.019616
11700.0,-0.019594
11900.0,-0.019507
12100.0,-0.019359
12300.0,-0.019151
12500.0,-0.018881
12700.0,-0.01855
12900.0,-0.01816
13100.0,-0.017711
13300.0,-0.017206
13500.0,-0.016644
13700.0,-0.016028
13900.0,-0.015357
14100.0,-0.014632
14300.0,-0.013855
14500.0,-0.01303
14700.0,-0.01216
14900.0,-0.011249
15100.0,-0.010301
15300.0,-0.009319
15500.0,-0.008309
15700.0,-0.007275
15900.0,-0.006222
16100.000000000002,-0.005155
16300.0,-0.004078
16500.0,-0.002991
16700.0,-0.001895
16900.0,-0.000793
17100.0,0.000314
17300.0,0.001422
17500.0,0.002525
17700.0,0.00362
17900.0,0.0047
18100.0,0.005764
18300.0,0.006806
18500.0,0.007821
18700.0,0.008806
18900.0,0.009755
19100.0,0.010661
19300.0,0.011521
19500.0,0.012338
19700.0,0.013112
19900.0,0.013842
20100.0,0.014532
20300.0,0.015179
20500.0,0.015778
20700.0,0.016325
20900.0,0.016815
21100.0,0.017244
21300.0,0.01761
21500.0,0.017913
21700.0,0.018153
21900.0,0.01833
22100.0,0.018442
22300.0,0.018492
22500.0,0.018479
22700.0,0.018406
22900.0,0.018273
23100.0,0.018083
23300.0,0.017836
23500.0,0.017535
23700.0,0.017182
23900.0,0.016777
